,pos: 0,pos: 1,pos: 2,pos: 3,pos: 4,pos: 5,pos: 6,pos: 7,pos: 8,Best Move
404,2,1,2,0,1,1,1,2,0,3
405,2,1,2,2,1,1,1,2,0,8
406,0,0,0,0,0,0,0,0,0,3
407,0,0,0,1,0,0,0,0,0,4
408,0,0,0,1,2,0,0,0,0,2
409,0,0,1,1,2,0,0,0,0,0
410,2,0,1,1,2,0,0,0,0,8
411,2,0,1,1,2,0,0,0,1,7
412,2,0,1,1,2,0,0,2,1,1
413,2,1,1,1,2,0,0,2,1,5
414,2,1,1,1,2,2,0,2,1,6
415,0,0,0,0,0,0,0,0,0,0
416,1,0,0,0,0,0,0,0,0,4
417,1,0,0,0,2,0,0,0,0,6
418,1,0,0,0,2,0,1,0,0,3
419,1,0,0,2,2,0,1,0,0,1
420,1,1,0,2,2,0,1,0,0,2
421,1,1,2,2,2,0,1,0,0,5
422,1,1,2,2,2,1,1,0,0,7
423,1,1,2,2,2,1,1,2,0,8
424,0,0,0,0,0,0,0,0,0,7
425,0,0,0,0,0,0,0,1,0,4
426,0,0,0,0,2,0,0,1,0,0
427,1,0,0,0,2,0,0,1,0,2
428,1,0,2,0,2,0,0,1,0,6
429,1,0,2,0,2,0,1,1,0,3
430,1,0,2,2,2,0,1,1,0,5
431,1,0,2,2,2,1,1,1,0,8
432,1,0,2,2,2,1,1,1,2,1
433,0,0,0,0,0,0,0,0,0,6
434,0,0,0,0,0,0,1,0,0,4
435,0,0,0,0,2,0,1,0,0,8
436,0,0,0,0,2,0,1,0,1,3
437,0,0,0,2,2,0,1,0,1,5
438,0,0,0,2,2,1,1,0,1,7
439,0,0,0,2,2,1,1,2,1,1
440,0,1,0,2,2,1,1,2,1,2
441,0,1,2,2,2,1,1,2,1,0
442,0,0,0,0,0,0,0,0,0,0
443,1,0,0,0,0,0,0,0,0,4
444,1,0,0,0,2,0,0,0,0,6
445,1,0,0,0,2,0,1,0,0,3
446,1,0,0,2,2,0,1,0,0,1
447,1,1,0,2,2,0,1,0,0,2
448,1,1,2,2,2,0,1,0,0,5
449,1,1,2,2,2,1,1,0,0,7
450,1,1,2,2,2,1,1,2,0,8
451,0,0,0,0,0,0,0,0,0,4
452,0,0,0,0,1,0,0,0,0,0
453,2,0,0,0,1,0,0,0,0,2
454,2,0,1,0,1,0,0,0,0,6
455,2,0,1,0,1,0,2,0,0,3
456,2,0,1,1,1,0,2,0,0,5
457,2,0,1,1,1,2,2,0,0,7
458,2,0,1,1,1,2,2,1,0,1
459,2,2,1,1,1,2,2,1,0,8
460,0,0,0,0,0,0,0,0,0,2
461,0,0,1,0,0,0,0,0,0,4
462,0,0,1,0,2,0,0,0,0,0
463,1,0,1,0,2,0,0,0,0,1
464,1,2,1,0,2,0,0,0,0,7
465,1,2,1,0,2,0,0,1,0,3
466,1,2,1,2,2,0,0,1,0,5
467,1,2,1,2,2,1,0,1,0,8
468,1,2,1,2,2,1,0,1,2,6
469,0,0,0,0,0,0,0,0,0,6
470,0,0,0,0,0,0,1,0,0,4
471,0,0,0,0,2,0,1,0,0,0
472,1,0,0,0,2,0,1,0,0,3
473,1,0,0,2,2,0,1,0,0,1
474,1,1,0,2,2,0,1,0,0,2
475,1,1,2,2,2,0,1,0,0,5
476,1,1,2,2,2,1,1,0,0,7
477,1,1,2,2,2,1,1,2,0,8
478,0,0,0,0,0,0,0,0,0,0
479,1,0,0,0,0,0,0,0,0,4
480,1,0,0,0,2,0,0,0,0,6
481,1,0,0,0,2,0,1,0,0,3
482,1,0,0,2,2,0,1,0,0,5
483,1,0,0,2,2,1,1,0,0,1
484,1,2,0,2,2,1,1,0,0,7
485,1,2,0,2,2,1,1,1,0,8
486,1,2,0,2,2,1,1,1,2,2
487,0,0,0,0,0,0,0,0,0,0
488,1,0,0,0,0,0,0,0,0,4
489,1,0,0,0,2,0,0,0,0,6
490,1,0,0,0,2,0,1,0,0,3
491,1,0,0,2,2,0,1,0,0,5
492,1,0,0,2,2,1,1,0,0,7
493,1,0,0,2,2,1,1,2,0,1
494,1,1,0,2,2,1,1,2,0,2
495,1,1,2,2,2,1,1,2,0,8
496,0,0,0,0,0,0,0,0,0,7
497,0,0,0,0,0,0,0,1,0,4
498,0,0,0,0,2,0,0,1,0,2
499,0,0,1,0,2,0,0,1,0,0
500,2,0,1,0,2,0,0,1,0,8
501,2,0,1,0,2,0,0,1,1,3
502,2,0,1,2,2,0,0,1,1,6
503,0,0,0,0,0,0,0,0,0,6
504,0,0,0,0,0,0,1,0,0,0
505,2,0,0,0,0,0,1,0,0,1
506,2,1,0,0,0,0,1,0,0,4
507,2,1,0,0,2,0,1,0,0,8
508,2,1,0,0,2,0,1,0,1,5
509,2,1,0,0,2,2,1,0,1,3
510,2,1,0,1,2,2,1,0,1,7
511,2,1,0,1,2,2,1,2,1,2
512,0,0,0,0,0,0,0,0,0,0
513,1,0,0,0,0,0,0,0,0,4
514,1,0,0,0,2,0,0,0,0,6
515,1,0,0,0,2,0,1,0,0,3
516,1,0,0,2,2,0,1,0,0,5
517,1,0,0,2,2,1,1,0,0,1
518,1,2,0,2,2,1,1,0,0,7
519,1,2,0,2,2,1,1,1,0,8
520,1,2,0,2,2,1,1,1,2,2
521,0,0,0,0,0,0,0,0,0,4
522,0,0,0,0,1,0,0,0,0,0
523,2,0,0,0,1,0,0,0,0,2
524,2,0,1,0,1,0,0,0,0,6
525,2,0,1,0,1,0,2,0,0,3
526,2,0,1,1,1,0,2,0,0,5
527,2,0,1,1,1,2,2,0,0,7
528,2,0,1,1,1,2,2,1,0,1
529,2,2,1,1,1,2,2,1,0,8
