,pos: 0,pos: 1,pos: 2,pos: 3,pos: 4,pos: 5,pos: 6,pos: 7,pos: 8,Best Move
491,1,1,2,0,2,0,1,0,0,3
492,1,1,2,2,2,0,1,0,0,5
493,1,1,2,2,2,1,1,0,0,7
494,1,1,2,2,2,1,1,2,0,8
495,0,0,0,0,0,0,0,0,0,2
496,0,0,1,0,0,0,0,0,0,4
497,0,0,1,0,2,0,0,0,0,0
498,1,0,1,0,2,0,0,0,0,1
499,1,2,1,0,2,0,0,0,0,7
500,1,2,1,0,2,0,0,1,0,3
501,1,2,1,2,2,0,0,1,0,5
502,1,2,1,2,2,1,0,1,0,8
503,1,2,1,2,2,1,0,1,2,6
504,0,0,0,0,0,0,0,0,0,4
505,0,0,0,0,1,0,0,0,0,0
506,2,0,0,0,1,0,0,0,0,1
507,2,1,0,0,1,0,0,0,0,6
508,2,1,0,0,1,0,2,0,0,3
509,2,1,0,1,1,0,2,0,0,7
510,2,1,0,1,1,0,2,2,0,5
511,0,0,0,0,0,0,0,0,0,0
512,1,0,0,0,0,0,0,0,0,4
513,1,0,0,0,2,0,0,0,0,2
514,1,0,1,0,2,0,0,0,0,1
515,1,2,1,0,2,0,0,0,0,7
516,1,2,1,0,2,0,0,1,0,5
517,1,2,1,0,2,2,0,1,0,3
518,1,2,1,1,2,2,0,1,0,6
519,1,2,1,1,2,2,2,1,0,8
520,0,0,0,0,0,0,0,0,0,0
521,1,0,0,0,0,0,0,0,0,4
522,1,0,0,0,2,0,0,0,0,6
523,1,0,0,0,2,0,1,0,0,3
524,1,0,0,2,2,0,1,0,0,2
525,1,0,1,2,2,0,1,0,0,1
526,1,2,1,2,2,0,1,0,0,7
527,1,2,1,2,2,0,1,1,0,5
528,0,0,0,0,0,0,0,0,0,0
529,1,0,0,0,0,0,0,0,0,4
530,1,0,0,0,2,0,0,0,0,6
531,1,0,0,0,2,0,1,0,0,3
532,1,0,0,2,2,0,1,0,0,5
533,1,0,0,2,2,1,1,0,0,7
534,1,0,0,2,2,1,1,2,0,1
535,1,1,0,2,2,1,1,2,0,2
536,1,1,2,2,2,1,1,2,0,8
537,0,0,0,0,0,0,0,0,0,0
538,1,0,0,0,0,0,0,0,0,4
539,1,0,0,0,2,0,0,0,0,3
540,1,0,0,1,2,0,0,0,0,6
541,1,0,0,1,2,0,2,0,0,2
542,1,0,1,1,2,0,2,0,0,1
543,1,2,1,1,2,0,2,0,0,7
544,1,2,1,1,2,0,2,1,0,5
545,1,2,1,1,2,2,2,1,0,8
546,0,0,0,0,0,0,0,0,0,1
547,0,1,0,0,0,0,0,0,0,4
548,0,1,0,0,2,0,0,0,0,0
549,1,1,0,0,2,0,0,0,0,2
550,1,1,2,0,2,0,0,0,0,6
551,1,1,2,0,2,0,1,0,0,3
552,1,1,2,2,2,0,1,0,0,5
553,1,1,2,2,2,1,1,0,0,8
554,1,1,2,2,2,1,1,0,2,7
555,0,0,0,0,0,0,0,0,0,4
556,0,0,0,0,1,0,0,0,0,0
557,2,0,0,0,1,0,0,0,0,1
558,2,1,0,0,1,0,0,0,0,7
559,2,1,0,0,1,0,0,2,0,6
560,2,1,0,0,1,0,1,2,0,2
561,2,1,2,0,1,0,1,2,0,3
562,2,1,2,1,1,0,1,2,0,5
563,2,1,2,1,1,2,1,2,0,8
564,0,0,0,0,0,0,0,0,0,0
565,1,0,0,0,0,0,0,0,0,4
566,1,0,0,0,2,0,0,0,0,5
567,1,0,0,0,2,1,0,0,0,6
568,1,0,0,0,2,1,2,0,0,2
569,1,0,1,0,2,1,2,0,0,1
570,1,2,1,0,2,1,2,0,0,7
571,1,2,1,0,2,1,2,1,0,8
572,1,2,1,0,2,1,2,1,2,3
573,0,0,0,0,0,0,0,0,0,4
574,0,0,0,0,1,0,0,0,0,0
575,2,0,0,0,1,0,0,0,0,1
576,2,1,0,0,1,0,0,0,0,7
577,2,1,0,0,1,0,0,2,0,6
578,2,1,0,0,1,0,1,2,0,2
579,2,1,2,0,1,0,1,2,0,3
580,2,1,2,1,1,0,1,2,0,5
581,2,1,2,1,1,2,1,2,0,8
582,0,0,0,0,0,0,0,0,0,4
583,0,0,0,0,1,0,0,0,0,0
584,2,0,0,0,1,0,0,0,0,1
585,2,1,0,0,1,0,0,0,0,7
586,2,1,0,0,1,0,0,2,0,6
587,2,1,0,0,1,0,1,2,0,2
588,2,1,2,0,1,0,1,2,0,3
589,2,1,2,1,1,0,1,2,0,5
590,2,1,2,1,1,2,1,2,0,8
591,0,0,0,0,0,0,0,0,0,4
592,0,0,0,0,1,0,0,0,0,0
593,2,0,0,0,1,0,0,0,0,3
594,2,0,0,1,1,0,0,0,0,5
595,2,0,0,1,1,2,0,0,0,6
596,2,0,0,1,1,2,1,0,0,2
597,2,0,2,1,1,2,1,0,0,1
598,2,1,2,1,1,2,1,0,0,7
599,2,1,2,1,1,2,1,2,0,8
600,0,0,0,0,0,0,0,0,0,4
601,0,0,0,0,1,0,0,0,0,0
602,2,0,0,0,1,0,0,0,0,3
603,2,0,0,1,1,0,0,0,0,5
604,2,0,0,1,1,2,0,0,0,2
605,2,0,1,1,1,2,0,0,0,6
606,2,0,1,1,1,2,2,0,0,7
607,2,0,1,1,1,2,2,1,0,1
608,2,2,1,1,1,2,2,1,0,8
609,0,0,0,0,0,0,0,0,0,4
610,0,0,0,0,1,0,0,0,0,0
611,2,0,0,0,1,0,0,0,0,6
612,2,0,0,0,1,0,1,0,0,2
613,2,0,2,0,1,0,1,0,0,1
614,2,1,2,0,1,0,1,0,0,7
615,2,1,2,0,1,0,1,2,0,3
616,2,1,2,1,1,0,1,2,0,5
617,2,1,2,1,1,2,1,2,0,8
618,0,0,0,0,0,0,0,0,0,4
619,0,0,0,0,1,0,0,0,0,0
620,2,0,0,0,1,0,0,0,0,3
621,2,0,0,1,1,0,0,0,0,5
622,2,0,0,1,1,2,0,0,0,2
623,2,0,1,1,1,2,0,0,0,6
624,2,0,1,1,1,2,2,0,0,1
